experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-4,0",+primal_weight,1e-4,0,self,TERMINATION_REASON_OPTIMAL,73,12.301549161,389.0,0.0,2.4333675731488565e-9,2.433367567227579e-9,9.980149585073843e-5,1.3323395493339712e-5,2.839451360118861e-6,7.101903738703969e-7,9.980149585073843e-5,1.3323395493339712e-5,5.188926926284819e-7,3.5509518693519844e-7,0.000610352138837768,0.004867597449679178,8.185133289601785e-6
"+primal_weight,1e-4,1",+primal_weight,1e-4,1,self,TERMINATION_REASON_OPTIMAL,79,7.159045006,419.00000111135427,0.0,2.2982941906164015e-9,2.2982941853342453e-9,9.917859663500482e-5,1.4194743366396569e-5,3.0716848972133e-6,6.553993827802433e-7,9.917859663500482e-5,1.4194743366396569e-5,5.613319775812361e-7,3.2769969139012166e-7,0.0006345300976858472,0.004904773149825424,8.474672434129052e-6
"+primal_weight,1e-4,2",+primal_weight,1e-4,2,self,TERMINATION_REASON_OPTIMAL,81,9.348176499,429.0000022228417,0.0,2.2111019464474104e-9,2.2111019415584384e-9,9.947333324640402e-5,1.370781676086199e-5,3.1663626603377814e-6,6.240251308848305e-7,9.947333324640402e-5,1.370781676086199e-5,5.786337705014174e-7,3.1201256544241525e-7,0.0006417233439991203,0.004916967413890768,8.567549810501429e-6
"+primal_weight,1e-4,3",+primal_weight,1e-4,3,self,TERMINATION_REASON_OPTIMAL,82,8.343737417,434.00000330558623,0.0,2.182565434082787e-9,2.1825654293191947e-9,9.991929127800644e-5,1.3372950063301156e-5,3.2244956700181964e-6,6.309763222496735e-7,9.991929127800644e-5,1.3372950063301156e-5,5.892572290847704e-7,3.1548816112483675e-7,0.0006455692557560164,0.004923029582249955,8.613635068544726e-6
"+primal_weight,1e-4,4",+primal_weight,1e-4,4,self,TERMINATION_REASON_OPTIMAL,83,8.744853368,439.00000437401803,0.0,2.150808723947935e-9,2.150808719321957e-9,9.98001097539146e-5,1.2964614150494335e-5,3.2645338305997446e-6,6.928489270884354e-7,9.98001097539146e-5,1.2964614150494335e-5,5.965739626072568e-7,3.464244635442177e-7,0.0006500392626027612,0.004928924243835316,8.653542294327306e-6
"+primal_weight,1e-4,5",+primal_weight,1e-4,5,self,TERMINATION_REASON_OPTIMAL,84,8.959216776,444.00000542813024,0.0,2.1063334430776174e-9,2.1063334386409767e-9,9.940122129788775e-5,1.2479379440081847e-5,3.2859101023617404e-6,7.433760025491012e-7,9.940122129788775e-5,1.2479379440081847e-5,6.004803479635025e-7,3.716880012745506e-7,0.0006549270992370431,0.0049348117811755165,8.691310120607593e-6
"+primal_weight,1e-4,6",+primal_weight,1e-4,6,self,TERMINATION_REASON_OPTIMAL,85,8.951131557,449.000006467918,0.0,2.0563080157473025e-9,2.0563080115189e-9,9.876953854235541e-5,1.193447077197207e-5,3.2870354503388264e-6,7.81188937632492e-7,9.876953854235541e-5,1.193447077197207e-5,6.006859985515618e-7,3.90594468816246e-7,0.0006600618196846495,0.004940677122083501,8.725016071438023e-6
"+primal_weight,1e-4,7",+primal_weight,1e-4,7,self,TERMINATION_REASON_OPTIMAL,85,7.951679453,449.00000742119585,0.0,2.0599191382326413e-9,2.0599191339893743e-9,9.95215336456666e-5,1.2123949851362073e-5,3.3054053534320935e-6,7.855428408875253e-7,9.95215336456666e-5,1.2123949851362073e-5,6.040429880789296e-7,3.9277142044376263e-7,0.0006593475338772383,0.004940840420224228,8.729588281456566e-6
"+primal_weight,1e-4,10",+primal_weight,1e-4,10,self,TERMINATION_REASON_OPTIMAL,86,10.720860418,454.0000101805222,0.0,2.021442705391862e-9,2.021442701305631e-9,9.933789461343235e-5,1.2173976556097225e-5,3.301940750661812e-6,8.06883467882965e-7,9.933789461343235e-5,1.2173976556097225e-5,6.034098527184831e-7,4.034417339414825e-7,0.0006648190243265538,0.004946746817470131,8.763100684868667e-6
"+primal_weight,1e-4,15",+primal_weight,1e-4,15,self,TERMINATION_REASON_OPTIMAL,86,11.398854741,454.0000140830629,0.0,2.027851491636403e-9,2.0278514875242215e-9,9.967761303846036e-5,1.2203678599813317e-5,3.303971255653327e-6,7.983886796003596e-7,9.967761303846036e-5,1.2203678599813317e-5,6.037809153178434e-7,3.991943398001798e-7,0.0006630097099135764,0.004946937044103631,8.763912356658734e-6
"+primal_weight,1e-4,20",+primal_weight,1e-4,20,self,TERMINATION_REASON_OPTIMAL,86,11.548894807,454.00001726481145,0.0,2.024202458193852e-9,2.0242024540964565e-9,9.904497170373418e-5,1.2284035615136301e-5,3.2881160844998445e-6,7.850445267422688e-7,9.904497170373418e-5,1.2284035615136301e-5,6.008834779581235e-7,3.925222633711344e-7,0.0006613817536619201,0.004946809270357166,8.762959356507584e-6
"+primal_weight,1e-4,30",+primal_weight,1e-4,30,self,TERMINATION_REASON_OPTIMAL,85,10.606872042,449.0000213902823,0.0,2.0772193335680325e-9,2.0772193292531925e-9,9.905950915697505e-5,1.2805557677045633e-5,3.2878015573829196e-6,7.355062134340954e-7,9.905950915697505e-5,1.2805557677045633e-5,6.00826000015413e-7,3.677531067170477e-7,0.0006548000434112917,0.004940847572930537,8.735405758545018e-6
"+primal_weight,1e-4,40",+primal_weight,1e-4,40,self,TERMINATION_REASON_OPTIMAL,85,10.638247126,449.0000226943658,0.0,2.0847349404197617e-9,2.084734936073642e-9,9.883054302105893e-5,1.2788398012917146e-5,3.2852960494722836e-6,7.349366629498386e-7,9.883054302105893e-5,1.2788398012917146e-5,6.003681334837259e-7,3.674683314749193e-7,0.0006549207297318343,0.004940759491014528,8.735304247770578e-6
