experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason                 ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual    ,l_inf_primal_residual ,l2_dual_residual      ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+step_size,1e-8,1"  ,+step_size ,1e-8      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           3000 ,  15.26851779  ,                      3245.5 ,213.99999956238747 ,213.99999941791023 ,3.3677678596986337e-10  ,6.351967346304082e-9  ,1.3007502852602215e-9 ,0.0                   ,0.0                    ,1.2703934692608163e-9       ,6.503751426301108e-10          ,0.0                       ,0.0                          ,  0.2499999996748358  ,4.795831513879587  , 23.126601178486858
"+step_size,1e-8,2"  ,+step_size ,1e-8      ,     2 ,nug08-3rd     ,TERMINATION_REASON_NUMERICAL_ERROR ,           2338 ,   9.325592847 ,                      2879.5 ,215.3178908397934  ,214.51388609377517 ,0.0018661686279055375   ,0.05622815925114163   ,0.00764455214732096   ,0.12399144067862254   ,0.013751035533596578   ,0.011245631850228326        ,0.00382227607366048            ,0.0001538741254846853     ,0.0006374652234244268        ,  0.25262121998289583 ,4.819169538870933  , 20.51896082618078
"+step_size,1e-8,3"  ,+step_size ,1e-8      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2720 ,  11.623768522 ,                      2944.5 ,214.0000013154816  ,213.99999999862587 ,3.069593767375524e-9    ,1.899731520218722e-8  ,3.905339829302079e-9  ,0.0                   ,0.0                    ,3.799463040437444e-9        ,1.9526699146510396e-9          ,0.0                       ,0.0                          ,  0.25000000154555    ,4.795831551634576  , 21.44674000777575
"+step_size,1e-8,4"  ,+step_size ,1e-8      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           3120 ,  14.395327008 ,                      3374.5 ,214.00000084815264 ,213.9999997786867  ,2.492927557708787e-9    ,1.2246406972685892e-8 ,2.5175315165881784e-9 ,0.0                   ,0.0                    ,2.4492813945371785e-9       ,1.2587657582940892e-9          ,0.0                       ,0.0                          ,  0.2500000009980101  ,4.795831541570089  , 22.93498113575535
"+step_size,1e-8,5"  ,+step_size ,1e-8      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2600 ,  13.620813019 ,                      2815.5 ,214.00000325257304 ,213.99999974416053 ,8.17811766901703e-9     ,4.69800051411323e-8   ,9.657825650322138e-9  ,0.0                   ,0.0                    ,9.39600102822646e-9         ,4.828912825161069e-9           ,0.0                       ,0.0                          ,  0.25000000382210424 ,4.795831593352148  , 18.06327081722643
"+step_size,1e-8,6"  ,+step_size ,1e-8      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2680 ,  20.251037263 ,                      2901.5 ,214.00000292697038 ,213.99999984554526 ,7.182809092039083e-9    ,4.227642633243235e-8  ,8.690898223306931e-9  ,0.0                   ,0.0                    ,8.45528526648647e-9         ,4.3454491116534655e-9          ,0.0                       ,0.0                          ,  0.2500000034394455  ,4.795831586339893  , 19.9228675236565
"+step_size,1e-8,7"  ,+step_size ,1e-8      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1840 ,  14.40906338  ,                      1998.5 ,214.0000018286655  ,213.99999956460627 ,5.277527300376823e-9    ,2.6410625514529688e-8 ,5.429314553495601e-9  ,0.0                   ,0.0                    ,5.2821251029059375e-9       ,2.7146572767478006e-9          ,0.0                       ,0.0                          ,  0.2500000021486819  ,4.7958315626866    , 24.392689569287754
"+step_size,1e-8,10" ,+step_size ,1e-8      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1760 ,  18.693279357 ,                      1912.5 ,214.0000001665507  ,213.99999739165622 ,6.468285545165722e-9    ,2.4001689133504664e-9 ,4.934106456744303e-10 ,0.0                   ,0.0                    ,4.800337826700932e-10       ,2.4670532283721514e-10         ,0.0                       ,0.0                          ,  0.25000000019529495 ,4.795831526890974  , 24.737593561187513
"+step_size,1e-8,15" ,+step_size ,1e-8      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1200 ,  14.054347815 ,                      1310.5 ,214.00000005711206 ,213.99999999537215 ,1.4391587634947484e-10  ,1.7544141475381694e-8 ,3.351051880429168e-9  ,1.768759495116977e-7  ,4.1358916069711427e-8  ,3.508828295076339e-9        ,1.675525940214584e-9           ,2.1950411981202402e-10    ,1.917300744991602e-9         ,  0.2500000014427062  ,4.795831526955834  , 23.816956596370588
"+step_size,1e-8,20" ,+step_size ,1e-8      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1920 ,  24.612770497 ,                      2084.5 ,214.0000005243914  ,213.99999902803916 ,3.488000563866785e-9    ,7.569439765068973e-9  ,1.5560737143260894e-9 ,0.0                   ,0.0                    ,1.5138879530137945e-9       ,7.780368571630447e-10          ,0.0                       ,0.0                          ,  0.25000000061583016 ,4.795831534597503  , 23.369516187503116
"+step_size,1e-8,30" ,+step_size ,1e-8      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2280 ,  38.164482774 ,                      2471.5 ,213.99999952525252 ,214.0000010629452  ,3.584365189275488e-9    ,6.89048307779801e-9   ,1.4110228541142078e-9 ,2.436901492725973e-7  ,1.9252332617014645e-8  ,1.378096615559602e-9        ,7.055114270571039e-10          ,3.0242094456942886e-10    ,8.924922405415894e-10        ,  0.249999999647245   ,4.7958315130798495 , 23.247717705634624
"+step_size,1e-8,40" ,+step_size ,1e-8      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2280 ,  36.303791255 ,                      2471.5 ,214.0000011429765  ,214.00000001246713 ,2.635219948127675e-9    ,1.650535269050816e-8  ,3.393055614253626e-9  ,2.7675375465559903e-9 ,2.1865464994164086e-10 ,3.3010705381016325e-9       ,1.696527807126813e-9           ,3.434530782057088e-12     ,1.013630827564169e-11        ,  0.25000000134280603 ,4.795831547919473  , 23.170928875769018
