experiment_label ,solver ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual    ,l_inf_primal_residual ,l2_dual_residual       ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"dwifob,1e-4,1"  ,dwifob ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           3520 ,  16.838480832 ,                      3740.0 ,213.96620387872727 ,213.99972808906546 ,7.815121863967255e-5    ,0.0004840590237109203 ,9.599561768869336e-5  ,0.0                    ,0.0                   ,9.681180474218406e-5        ,4.799780884434668e-5           ,0.0                       ,0.0                          ,  0.24997600111738688 ,4.7951098110579355 , 20.75473069034754
"dwifob,1e-4,2"  ,dwifob ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2680 ,   8.243952564 ,                      2858.0 ,213.9692651261871  ,213.99807742115289 ,6.716663976021692e-5    ,0.0004958362486947888 ,4.5769722569311e-5    ,0.0                    ,0.0                   ,9.916724973895775e-5        ,2.28848612846555e-5            ,0.0                       ,0.0                          ,  0.2499846186497407  ,4.7951837778351445 , 20.753659792375327
"dwifob,1e-4,3"  ,dwifob ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,   8.986365007 ,                      2774.0 ,213.9939554275543  ,213.99940338262033 ,1.2699392552667118e-5   ,8.657590964876865e-5  ,1.7169194599042648e-5 ,0.0                    ,0.0                   ,1.7315181929753732e-5       ,8.584597299521324e-6           ,0.0                       ,0.0                          ,  0.24999585984751013 ,4.795702442054685  , 20.762390769942908
"dwifob,1e-4,4"  ,dwifob ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  10.21489977  ,                      2774.0 ,213.99611353135907 ,213.99978785127098 ,8.56493010787881e-6     ,5.5665569947107355e-5 ,1.1039248756450348e-5 ,0.0                    ,0.0                   ,1.1133113989421472e-5       ,5.519624378225174e-6           ,0.0                       ,0.0                          ,  0.24999899583484117 ,4.7957485281949275 , 20.75236160565981
"dwifob,1e-4,5"  ,dwifob ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  11.080407494 ,                      2774.0 ,213.99953351593058 ,213.99995730840692 ,9.878624226938728e-7    ,6.681417911705434e-6  ,1.325017141784457e-6  ,0.0                    ,0.0                   ,1.3362835823410868e-6       ,6.625085708922285e-7           ,0.0                       ,0.0                          ,  0.2500076906135975  ,4.795821563294909  , 20.751498889598867
"dwifob,1e-4,6"  ,dwifob ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  15.995530368 ,                      2774.0 ,213.99995797442165 ,213.99999423485158 ,8.452315612190471e-8    ,6.019345621328937e-7  ,1.193720302605783e-7  ,0.0                    ,0.0                   ,1.2038691242657874e-7       ,5.968601513028915e-8           ,0.0                       ,0.0                          ,  0.25000659171374867 ,4.795830627325263  , 20.69620748809161
"dwifob,1e-4,7"  ,dwifob ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  22.284635969 ,                      2774.0 ,213.99999961257666 ,213.99999927682163 ,7.826457658151102e-10   ,5.638627049082777e-9  ,1.1038221447989827e-9 ,0.0                    ,0.0                   ,1.1277254098165553e-9       ,5.519110723994913e-10          ,0.0                       ,0.0                          ,  0.25004258983673766 ,4.795831628342162  , 20.750088252925128
"dwifob,1e-4,10" ,dwifob ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  26.798471569 ,                      2774.0 ,214.0000000061261  ,214.0000000002289  ,1.3746368456684707e-11  ,4.3121120365477805e-7 ,3.407435050784002e-8  ,2.0725863995342648e-7  ,7.471494711808191e-8  ,8.624224073095561e-8        ,1.703717525392001e-8           ,2.572092218416915e-10     ,3.4636068201123457e-9        ,  0.2500181293190279  ,4.795831536915702  , 20.775308376336874
"dwifob,1e-4,15" ,dwifob ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  34.443050698 ,                      2774.0 ,214.00001142356314 ,214.0000000004     ,2.6627419174556535e-8   ,3.875938283061713e-5  ,4.152542841029394e-6  ,3.4187663531957484e-5  ,8.752940334755266e-6  ,7.751876566123426e-6        ,2.076271420514697e-6           ,4.242709657660756e-8      ,4.057654459900938e-7         ,  0.2500774484588233  ,4.795831622740771  , 20.71284323494561
"dwifob,1e-4,20" ,dwifob ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2640 ,  49.112772898 ,                      2816.0 ,213.99906263100019 ,214.00000000039944 ,2.18501502894501e-6     ,0.0002079561998904097 ,2.271305143253244e-5  ,0.00014159389726629197 ,3.3140159234168465e-5 ,4.159123997808194e-5        ,1.135652571626622e-5           ,1.7571888024344468e-7     ,1.5362987724754184e-6        ,  0.25015554603073525 ,4.795832613405526  , 20.734062139445253
"dwifob,1e-4,30" ,dwifob ,1e-4      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  65.05596759  ,                      2774.0 ,214.00407457678062 ,214.00027901835432 ,8.847365753976737e-6    ,5.779932677003371e-5  ,1.1674824404783735e-5 ,5.861371653275813e-5   ,3.5559897026971043e-6 ,1.1559865354006741e-5       ,5.837412202391867e-6           ,7.2739975626724e-8        ,1.6484720476406805e-7        ,  0.2500915324277947  ,4.795918827855411  , 20.74571650539597
"dwifob,1e-4,40" ,dwifob ,1e-4      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2640 ,  83.91700386  ,                      2816.0 ,213.97299466602632 ,213.99769378205363 ,5.757763104202476e-5    ,0.0003867948534139491 ,7.6725522450527e-5    ,0.0                    ,0.0                   ,7.735897068278982e-5        ,3.83627612252635e-5            ,0.0                       ,0.0                          ,  0.2500735574178648  ,4.79525514308363   , 20.74400291755466
